indicativo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,latitude,longitude
0002I,129.5,64.8,0.0,23.099999999999998,0.0,9.0,9.700000000000001,75.8,0.8,92.3,25.7,33.4,97.0,97.2,73.5,29.9,17.9,8.9,38.5,7.300000000000001,39.72857142857143,0.0,39.72857142857143,39.72857142857143,40.95805555555556,0.8713888888888889
0016A,40.6,56.0,61.7,19.8,96.0,5.0,4.3,85.8,30.2,81.8,20.0,21.8,60.3,87.30000000000001,76.9,14.4,51.3,11.5,47.3,23.2,101.6,43.2,72.5,21.4,41.144999999999996,1.163611111111111
0076,55.800000000000004,31.1,93.8,22.4,69.4,4.2,3.3,82.2,17.0,47.3,15.5,7.1,51.8,76.8,28.599999999999998,11.1,44.5,41.9,82.4,24.3,263.5,37.4,26.6,1.0,41.29277777777778,2.0700000000000003
0200E,80.4,40.4,116.60000000000001,16.5,128.9,14.1,7.200000000000001,132.5,24.299999999999997,94.5,28.0,18.4,83.2,90.4,76.5,12.5,68.1,48.1,90.8,36.2,258.7,68.5,38.9,68.42173913043477,41.41833333333333,2.1241666666666665
0201D,47.5,29.6,73.1,10.899999999999999,58.8,3.5,0.0,22.0,26.7,59.5,8.799999999999999,12.6,61.400000000000006,61.300000000000004,35.9,7.2,55.9,28.6,109.7,17.9,206.4,45.7,29.0,44.0,41.39055555555556,2.2
0229I,59.3,13.399999999999999,68.0,13.0,35.0,3.3,15.3,0.7,34.9,71.0,34.3,31.499999999999996,49.9,48.900000000000006,39.6,16.799999999999997,3.4000000000000004,31.664705882352944,31.664705882352944,31.664705882352944,31.664705882352944,31.664705882352944,31.664705882352944,31.664705882352944,41.52361111111111,2.1030555555555557
0252D,1.7999999999999998,0.0,50.8,17.400000000000002,93.10000000000001,29.199999999999996,0.0,9.8,39.5,0.0,24.1,10.5,59.8,52.3,29.0,24.8,80.2,26.8,75.2,30.9,175.4,60.6,54.9,1.9,41.587500000000006,2.54
0367,73.9,27.200000000000003,183.9,35.1,144.1,13.5,2.1,113.1,55.5,33.4,37.5,31.9,53.1,78.4,55.8,13.0,66.5,25.5,102.19999999999999,47.0,173.0,73.8,62.300000000000004,13.1,41.91166666666666,2.763333333333333
1014,190.9,164.9,93.6,62.1,127.9,222.9,61.0,111.1,152.7,232.0,62.699999999999996,44.4,251.0,101.5,116.9,155.9,71.0,87.4,171.6,117.7,121.2,50.199999999999996,162.6,114.0,43.356944444444444,-1.7922222222222222
1024E,197.9,120.6,116.5,49.4,110.3,201.79999999999998,80.4,123.7,123.7,205.1,64.5,52.2,218.4,147.4,101.4,82.7,62.8,76.1,200.2,118.2,98.5,74.1,149.4,90.7,43.30638888888888,-2.041111111111111
