,latitude,longitude,zone
0002I,40.95805555555556,0.8713888888888889,1
0016A,41.144999999999996,1.163611111111111,1
0076,41.29277777777778,2.0700000000000003,1
0149X,41.72,1.840277777777778,1
0200E,41.41833333333333,2.1241666666666665,1
0201D,41.39055555555556,2.2,1
0229I,41.52361111111111,2.1030555555555557,1
0252D,41.587500000000006,2.54,1
0255B,41.65083333333333,2.6969444444444446,1
0324A,42.19138888888889,2.196111111111111,1
0367,41.91166666666666,2.763333333333333,1
0370B,41.980000000000004,2.8252777777777776,1
0372C,42.10444444444445,2.763611111111111,1
1002Y,43.13583333333333,-1.5430555555555554,1
1014,43.356944444444444,-1.7922222222222222,1
1014A,43.356944444444444,-1.7922222222222222,1
1024E,43.30638888888888,-2.041111111111111,1
1037Y,43.080000000000005,-2.3175,1
1041A,43.30222222222222,-2.2511111111111113,1
1050J,43.20944444444445,-2.413333333333333,1
1055B,43.37694444444445,-2.5102777777777776,1
1057B,43.45388888888889,-2.7527777777777778,1
1059X,43.375,-3.0216666666666665,1
1078I,43.20333333333333,-3.104722222222222,1
1082,43.29805555555556,-2.906388888888889,1
1083L,43.39472222222222,-3.233888888888889,1
1109,43.42388888888889,-3.8255555555555554,1
1110,43.465,-3.8188888888888886,1
1111,43.49111111111111,-3.8005555555555555,1
1111X,43.49111111111111,-3.8005555555555555,1
1159,43.39333333333333,-4.392222222222222,1
1183X,43.42027777777778,-4.748055555555555,1
1207U,43.52305555555555,-5.621111111111111,1
1208,43.538888888888884,-5.637499999999999,1
1208A,43.541666666666664,-5.661944444444445,1
1208H,43.559999999999995,-5.700833333333334,1
1210X,43.655833333333334,-5.8486111111111105,1
1212E,43.566944444444445,-6.0441666666666665,1
1221D,42.978611111111114,-5.776388888888889,1
1249I,43.35333333333333,-5.874166666666667,1
1249X,43.35333333333333,-5.874166666666667,1
1283U,43.56916666666667,-6.47,1
1331A,43.52472222222222,-7.0313888888888885,1
1351,43.78611111111111,-7.6850000000000005,1
1387,43.365833333333335,-8.421388888888888,1
1387E,43.30694444444444,-8.371944444444445,1
1393,43.160555555555554,-9.210833333333333,1
1400,42.92472222222222,-9.29138888888889,1
1428,42.88805555555555,-8.410555555555556,1
1437O,42.720555555555556,-8.923333333333332,1
1473A,42.73833333333334,-8.627222222222223,1
1475X,42.876111111111115,-8.555833333333334,1
1484,42.43055555555555,-8.647222222222222,1
1484C,42.43833333333333,-8.615833333333333,1
1495,42.23861111111111,-8.623888888888889,1
1505,43.11138888888889,-7.4575000000000005,1
1542,42.994166666666665,-6.4141666666666675,1
1549,42.56388888888888,-6.6,1
1631E,42.339444444444446,-7.2825,1
1690A,42.32527777777778,-7.859722222222222,1
1690B,42.33222222222223,-7.864444444444444,1
1700X,42.421388888888885,-8.092500000000001,1
1735X,42.07916666666667,-7.733611111111111,1
2030,41.775,-2.4830555555555556,1
2117D,41.66583333333333,-3.742777777777778,1
2150H,41.19194444444444,-3.475277777777778,1
2235U,42.870555555555555,-4.52,1
2298,41.959722222222226,-3.131666666666667,1
2331,42.356944444444444,-3.620277777777778,1
2374X,42.350833333333334,-4.617222222222223,1
2400E,41.995555555555555,-4.602777777777778,1
2401,42.005,-4.529166666666667,1
2422,41.64083333333333,-4.754444444444444,1
2444,40.659166666666664,-4.680000000000001,1
2444C,40.656666666666666,-4.700277777777778,1
2462,40.793055555555554,-4.010555555555555,1
2465,40.945277777777775,-4.126388888888888,1
2465A,40.946666666666665,-4.115833333333333,1
2491C,40.355000000000004,-5.69,1
2503X,41.325833333333335,-4.686944444444444,1
2539,41.71194444444445,-4.855555555555555,1
2614,41.51555555555556,-5.735277777777778,1
2630X,43.06222222222222,-5.376944444444444,1
2661,42.58833333333334,-5.651111111111112,1
2661B,42.599444444444444,-5.6436111111111105,1
2737E,42.3775,-6.196666666666667,1
2755X,42.01083333333333,-5.666666666666667,1
2775X,41.94138888888889,-6.279722222222222,1
2811A,40.35055555555556,-5.143055555555556,1
2867,40.95944444444445,-5.498333333333333,1
2870,40.9575,-5.662222222222223,1
2916A,41.01138888888889,-6.437777777777778,1
2946X,40.635,-6.6,1
3013,40.84166666666667,-1.8788888888888888,1
3044X,40.530277777777776,-2.15,1
3094B,40.01138888888889,-3.0213888888888887,1
3100B,40.06722222222223,-3.546111111111111,1
3110C,41.00694444444444,-3.613611111111111,1
3111D,41.135555555555555,-3.5802777777777774,1
3129,40.46666666666667,-3.5555555555555554,1
3130C,41.08638888888889,-2.618055555555556,1
3168A,40.63472222222222,-3.1666666666666665,1
3168C,40.659166666666664,-3.1733333333333333,1
3168D,40.63027777777778,-3.15,1
3175,40.48861111111111,-3.443611111111111,1
3191E,40.69611111111111,-3.765,1
3194U,40.45166666666667,-3.7241666666666666,1
3195,40.411944444444444,-3.6780555555555554,1
3196,40.37555555555556,-3.786111111111111,1
3200,40.29944444444444,-3.7222222222222223,1
3259,39.85944444444445,-4.025555555555555,1
3260B,39.88472222222222,-4.045277777777778,1
3266A,40.70638888888889,-4.141944444444444,1
3298X,39.54694444444444,-4.350555555555555,1
3338,40.42777777777778,-4.25,1
3365A,39.95861111111111,-4.863611111111111,1
3391,40.28861111111111,-4.590833333333333,1
3434X,39.94583333333333,-5.5825,1
3463X,39.4825,-5.854166666666666,1
3469,39.475833333333334,-6.376388888888888,1
3469A,39.47138888888889,-6.338888888888889,1
3519X,40.043055555555554,-6.085833333333333,1
3526X,40.00361111111111,-6.5575,1
3576X,39.414722222222224,-7.231111111111111,1
4061X,39.59722222222222,-3.0483333333333333,1
4067,39.49194444444444,-3.5283333333333333,1
